iter	Passed	Remaining
0	1	135
1	2	141
2	4	130
3	5	124
4	6	120
5	7	117
6	8	115
7	9	112
8	10	110
9	12	108
10	13	106
11	14	104
12	15	104
13	16	102
14	17	100
15	18	99
16	20	97
17	21	96
18	22	95
19	23	94
20	24	93
21	25	92
22	27	90
23	28	89
24	29	88
25	30	87
26	31	86
27	33	85
28	34	83
29	35	82
30	36	81
31	37	79
32	38	78
33	39	77
34	40	76
35	42	74
36	43	73
37	44	72
38	45	71
39	46	70
40	48	69
41	49	68
42	50	66
43	51	65
44	52	64
45	53	63
46	54	61
47	56	60
48	57	59
49	58	58
50	59	57
51	60	56
52	62	55
53	63	53
54	64	52
55	65	51
56	66	50
57	67	49
58	68	47
59	69	46
60	71	45
61	72	44
62	73	43
63	74	42
64	76	40
65	77	39
66	78	38
67	80	37
68	81	36
69	83	35
70	84	34
71	85	33
72	87	32
73	88	31
74	91	30
75	92	29
76	94	28
77	95	26
78	97	25
79	98	24
80	99	23
81	102	22
82	104	21
83	105	20
84	107	18
85	108	17
86	109	16
87	111	15
88	112	13
89	113	12
90	115	11
91	116	10
92	117	8
93	118	7
94	120	6
95	121	5
96	122	3
97	124	2
98	125	1
99	126	0
